user_device,user_osName,user_browserName,user_lat_lng,dest_lat_lng,booked_flight,booked_hotel,booked_rental,subscriber_id,subscriber_name,subscriber_tier,avg_daily_rate,commission_rate,mobile_optimized,p_conversion_ground_truth
desktop,Windows,Chrome,"38.9455,-76.934","38.7235,-82.9261",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.016302499371440946
desktop,Linux,Firefox,"29.1509,-79.1374","33.1533,-74.4486",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.016302499371440946
desktop,Linux,Firefox,"29.1509,-79.1374","33.1533,-74.4486",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.016302499371440946
desktop,Linux,Firefox,"29.1509,-79.1374","33.1533,-74.4486",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.016302499371440946
desktop,Linux,Firefox,"29.1509,-79.1374","33.1533,-74.4486",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.016302499371440946
desktop,Linux,Firefox,"29.1509,-79.1374","33.1533,-74.4486",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.016302499371440946
desktop,Windows,Edge,"40.3368,-94.3637","49.5026,-78.9714",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
desktop,Windows,Edge,"40.3368,-94.3637","49.5026,-78.9714",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
desktop,Windows,Edge,"40.3368,-94.3637","49.5026,-78.9714",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.029312230751356333
desktop,Windows,Edge,"40.3368,-94.3637","49.5026,-78.9714",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
desktop,Windows,Edge,"40.3368,-94.3637","49.5026,-78.9714",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.029312230751356333
mobile,Android,Samsung Internet,"34.0775,-98.0808","31.014,-108.8265",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,Android,Samsung Internet,"34.0775,-98.0808","31.014,-108.8265",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,Android,Samsung Internet,"34.0775,-98.0808","31.014,-108.8265",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,Android,Samsung Internet,"34.0775,-98.0808","31.014,-108.8265",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,Android,Samsung Internet,"34.0775,-98.0808","31.014,-108.8265",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
tablet,Android,Samsung Internet,"47.4297,-70.1869","56.6091,-74.0172",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
tablet,Android,Samsung Internet,"47.4297,-70.1869","56.6091,-74.0172",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
tablet,Android,Samsung Internet,"47.4297,-70.1869","56.6091,-74.0172",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.029312230751356333
tablet,Android,Samsung Internet,"47.4297,-70.1869","56.6091,-74.0172",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
tablet,Android,Samsung Internet,"47.4297,-70.1869","56.6091,-74.0172",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.029312230751356333
desktop,macOS,Safari,"29.2214,-108.5414","31.9819,-88.8108",0.0,0,1.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.045217473483287515
desktop,macOS,Safari,"29.2214,-108.5414","31.9819,-88.8108",0.0,0,1.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.045217473483287515
desktop,macOS,Safari,"29.2214,-108.5414","31.9819,-88.8108",0.0,0,1.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.08706577244027129
desktop,macOS,Safari,"29.2214,-108.5414","31.9819,-88.8108",0.0,0,1.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.045217473483287515
desktop,macOS,Safari,"29.2214,-108.5414","31.9819,-88.8108",0.0,0,1.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.045217473483287515
mobile,Android,Samsung Internet,"37.6763,-92.6562","27.6533,-77.9139",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,Android,Samsung Internet,"37.6763,-92.6562","27.6533,-77.9139",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,Android,Samsung Internet,"37.6763,-92.6562","27.6533,-77.9139",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,Android,Samsung Internet,"37.6763,-92.6562","27.6533,-77.9139",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,Android,Samsung Internet,"37.6763,-92.6562","27.6533,-77.9139",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
mobile,iOS,Safari,"39.9528,-86.4662","25.6933,-83.8806",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,iOS,Safari,"39.9528,-86.4662","25.6933,-83.8806",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,iOS,Safari,"39.9528,-86.4662","25.6933,-83.8806",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,iOS,Safari,"39.9528,-86.4662","25.6933,-83.8806",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,iOS,Safari,"39.9528,-86.4662","25.6933,-83.8806",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
mobile,Android,Chrome,"0.0,0.0","21.7172,-84.2915",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,Android,Chrome,"0.0,0.0","21.7172,-84.2915",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,Android,Chrome,"0.0,0.0","21.7172,-84.2915",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,Android,Chrome,"0.0,0.0","21.7172,-84.2915",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,Android,Chrome,"0.0,0.0","21.7172,-84.2915",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
mobile,iOS,,"34.0923,-109.7988","35.4932,-118.4148",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.016302499371440946
mobile,iOS,,"34.0923,-109.7988","35.4932,-118.4148",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.016302499371440946
mobile,iOS,,"34.0923,-109.7988","35.4932,-118.4148",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.007391541344281977
mobile,iOS,,"34.0923,-109.7988","35.4932,-118.4148",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.016302499371440946
mobile,iOS,,"34.0923,-109.7988","35.4932,-118.4148",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.007391541344281977
mobile,Android,Samsung Internet,"43.3159,-87.3003","53.5105,-86.6119",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,Android,Samsung Internet,"43.3159,-87.3003","53.5105,-86.6119",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,Android,Samsung Internet,"43.3159,-87.3003","53.5105,-86.6119",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,Android,Samsung Internet,"43.3159,-87.3003","53.5105,-86.6119",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,Android,Samsung Internet,"43.3159,-87.3003","53.5105,-86.6119",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
mobile,iOS,Chrome,"45.5094,-79.0815","34.334,-65.1542",1.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.06913842034334684
mobile,iOS,Chrome,"45.5094,-79.0815","34.334,-65.1542",1.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.06913842034334684
mobile,iOS,Chrome,"45.5094,-79.0815","34.334,-65.1542",1.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.03229546469845053
mobile,iOS,Chrome,"45.5094,-79.0815","34.334,-65.1542",1.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.06913842034334684
mobile,iOS,Chrome,"45.5094,-79.0815","34.334,-65.1542",1.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.03229546469845053
mobile,iOS,Safari,"32.829,-117.4991","41.8352,-110.0921",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,iOS,Safari,"32.829,-117.4991","41.8352,-110.0921",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,iOS,Safari,"32.829,-117.4991","41.8352,-110.0921",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,iOS,Safari,"32.829,-117.4991","41.8352,-110.0921",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,iOS,Safari,"32.829,-117.4991","41.8352,-110.0921",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
desktop,macOS,Firefox,"44.9648,-74.4239","55.8551,-82.8221",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
desktop,macOS,Firefox,"44.9648,-74.4239","55.8551,-82.8221",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
desktop,macOS,Firefox,"44.9648,-74.4239","55.8551,-82.8221",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.057324175898868755
desktop,macOS,Firefox,"44.9648,-74.4239","55.8551,-82.8221",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
desktop,macOS,Firefox,"44.9648,-74.4239","55.8551,-82.8221",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.029312230751356333
mobile,iOS,Chrome,"49.1939,-118.5248","38.7145,-130.4662",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,iOS,Chrome,"49.1939,-118.5248","38.7145,-130.4662",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,iOS,Chrome,"49.1939,-118.5248","38.7145,-130.4662",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,iOS,Chrome,"49.1939,-118.5248","38.7145,-130.4662",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,iOS,Chrome,"49.1939,-118.5248","38.7145,-130.4662",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
mobile,iOS,Safari,"46.4218,-102.2014","56.9696,-111.5931",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,iOS,Safari,"46.4218,-102.2014","56.9696,-111.5931",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,iOS,Safari,"46.4218,-102.2014","56.9696,-111.5931",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,iOS,Safari,"46.4218,-102.2014","56.9696,-111.5931",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,iOS,Safari,"46.4218,-102.2014","56.9696,-111.5931",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
mobile,Android,CHROME_v118,"27.9411,-119.2093","42.6847,-132.4189",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,Android,CHROME_v118,"27.9411,-119.2093","42.6847,-132.4189",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,Android,CHROME_v118,"27.9411,-119.2093","42.6847,-132.4189",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,Android,CHROME_v118,"27.9411,-119.2093","42.6847,-132.4189",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,Android,CHROME_v118,"27.9411,-119.2093","42.6847,-132.4189",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
mobile,iOS,Safari,"43.4933,-116.1427","50.2985,-132.3171",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,iOS,Safari,"43.4933,-116.1427","50.2985,-132.3171",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,iOS,Safari,"43.4933,-116.1427","50.2985,-132.3171",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,iOS,Safari,"43.4933,-116.1427","50.2985,-132.3171",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,iOS,Safari,"43.4933,-116.1427","50.2985,-132.3171",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
desktop,macOS,Chrome,"32.9917,-74.4416","41.5348,-77.6762",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.016302499371440946
desktop,macOS,Chrome,"32.9917,-74.4416","41.5348,-77.6762",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.016302499371440946
desktop,macOS,Chrome,"32.9917,-74.4416","41.5348,-77.6762",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.03229546469845053
desktop,macOS,Chrome,"32.9917,-74.4416","41.5348,-77.6762",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.016302499371440946
desktop,macOS,Chrome,"32.9917,-74.4416","41.5348,-77.6762",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.016302499371440946
mobile,Android,Chrome,"49.7104,-102.257","64.5429,-117.725",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,Android,Chrome,"49.7104,-102.257","64.5429,-117.725",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,Android,Chrome,"49.7104,-102.257","64.5429,-117.725",0.0,1,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,Android,Chrome,"49.7104,-102.257","64.5429,-117.725",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,Android,Chrome,"49.7104,-102.257","64.5429,-117.725",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
mobile,iOS,safari_mobile,"37.134,-98.7614","40.2984,-111.8849",1.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.06913842034334684
mobile,iOS,safari_mobile,"37.134,-98.7614","40.2984,-111.8849",1.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.06913842034334684
mobile,iOS,safari_mobile,"37.134,-98.7614","40.2984,-111.8849",1.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.03229546469845053
mobile,iOS,safari_mobile,"37.134,-98.7614","40.2984,-111.8849",1.0,1,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.06913842034334684
mobile,iOS,safari_mobile,"37.134,-98.7614","40.2984,-111.8849",1.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.03229546469845053
desktop,Windows,Edge,"28.0608,-109.2328","22.2974,-107.3398",1.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.03916572279676437
desktop,Windows,Edge,"28.0608,-109.2328","22.2974,-107.3398",1.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.03916572279676437
desktop,Windows,Edge,"28.0608,-109.2328","22.2974,-107.3398",1.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.03916572279676437
desktop,Windows,Edge,"28.0608,-109.2328","22.2974,-107.3398",1.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.03916572279676437
desktop,Windows,Edge,"28.0608,-109.2328","22.2974,-107.3398",1.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.03916572279676437
mobile,iOS,Safari,"43.1296,-90.1452","53.2555,-103.5612",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,iOS,Safari,"43.1296,-90.1452","53.2555,-103.5612",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,iOS,Safari,"43.1296,-90.1452","53.2555,-103.5612",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,iOS,Safari,"43.1296,-90.1452","53.2555,-103.5612",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,iOS,Safari,"43.1296,-90.1452","53.2555,-103.5612",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
desktop,macOS,Firefox,"33.0753,-90.2598","36.5099,-107.7046",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
desktop,macOS,Firefox,"33.0753,-90.2598","36.5099,-107.7046",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
desktop,macOS,Firefox,"33.0753,-90.2598","36.5099,-107.7046",0.0,1,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.057324175898868755
desktop,macOS,Firefox,"33.0753,-90.2598","36.5099,-107.7046",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
desktop,macOS,Firefox,"33.0753,-90.2598","36.5099,-107.7046",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.029312230751356333
mobile,iOS, chrome ,"49.927,-101.39","52.3629,-108.6944",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.016302499371440946
mobile,iOS, chrome ,"49.927,-101.39","52.3629,-108.6944",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.016302499371440946
mobile,iOS, chrome ,"49.927,-101.39","52.3629,-108.6944",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.007391541344281977
mobile,iOS, chrome ,"49.927,-101.39","52.3629,-108.6944",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.016302499371440946
mobile,iOS, chrome ,"49.927,-101.39","52.3629,-108.6944",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.007391541344281977
mobile,Android,,"49.4946,-103.3483","42.1037,-114.5355",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,Android,,"49.4946,-103.3483","42.1037,-114.5355",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,Android,,"49.4946,-103.3483","42.1037,-114.5355",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,Android,,"49.4946,-103.3483","42.1037,-114.5355",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,Android,,"49.4946,-103.3483","42.1037,-114.5355",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
tablet,Android,Samsung Internet,"41.4034,-75.7518","49.0934,-75.1396",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.016302499371440946
